"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location_point1"
"50134082","LOVELY'S OLD FASHIONED","Manhattan","642","9 AVENUE","10036","6469186019","Hamburgers","2024-05-18T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0",,,"2025-06-07T06:00:12.000","Inter-Agency Task Force / Initial Inspection","40.760483759849","-73.991120023519","104","03","012100","1025002","1010360001","MN15",
"50157412","GOODSTUFF HEALTHY KITCHEN LLC","Queens","4005","SKILLMAN AVE","11104","6468085965",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.747195864681","-73.923416505935","402","26","017100","4002375","4001830292","QN31",
"50158089","YIBASHOU","Queens","3622","UNION ST","11354","9292007999","Asian/Asian Fusion","2024-11-07T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","26","N",,"2025-06-07T06:00:12.000","Pre-permit (Operational) / Initial Inspection","40.763363467301","-73.827998830602","407","20","086900","4112380","4049770156","QN22",
"50040703","BEBE FRITAY","Brooklyn","826","ROGERS AVENUE","11226","7186761636","Creole","2023-06-02T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","36",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.650422680832","-73.952455476986","317","40","079400","3117243","3051040095","BK95",
"50163380","COLDSTONE CREAMERY","Queens","17660","UNION TPKE","11366","5166531610",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.725847722199","-73.791440054603","408","24","127700","4155422","4072270005","QN06",
"50157256","BILLIARDS NUNEZ BAR","Queens","11115","LEFFERTS BLVD","11420","3479659151",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.680224909526","-73.821212417209","410","28","016600","4250477","4116240055","QN55",
"50161021","APRUTIUM INC","Manhattan","1802","65TH STREET TRANSVERSE",,"5166334965",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"0","0",,,,,"1",,
"50168541","TIDAL GUYS, INC","Manhattan","1520","AMSTERDAM AVENUE","10031","6467264868",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.819038880826","-73.952143060813","109","07","022301","1059795","1019880103","MN06",
"50170017","U M BAKERY INC.","Manhattan","303","GRAND STREET","10002","5166973234",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.717506303559","-73.991771497993","103","01","001600","1003983","1003070021","MN27",
"50145971","LE SIA","Manhattan","651","9 AVENUE","10036","6465595220",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.760648437484","-73.991018928325","104","03","012100","1083775","1010550031","MN15",
"50166991","GYU-KAKU JAPANESE BBQ","Queens","4445","21ST ST","11101","9173301274",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.748211161922","-73.947307443733","402","26","001900","4005183","4004380021","QN31",
"50149605","LUCKY'S SOHO","Manhattan","224","LAFAYETTE STREET","10012","9177810730",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.722051903254","-73.997348372178","102","01","004500","1007217","1004820024","MN24",
"50160331","NIKU X","Manhattan","21","WEST   35 STREET","10001","7027386881",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.749515070773","-73.985058119383","105","04","008400","1015895","1008370029","MN17",
"50144825","DOUGHNUTTERY EVENTS.","Manhattan",,"WEST   42 STREET","10036","9179910564",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,,,,,,,,,
"50139951","CRAVE TNS","Manhattan","63","5 AVENUE","10003","6469398365","American","2023-09-28T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","2023-09-28T00:00:00.000","2025-06-07T06:00:12.000","Pre-permit (Operational) / Initial Inspection","40.735405063923","-73.994035343445","102","02","006100","1088879","1005710001","MN23",
"50168335","LA CABANA SALVADORENA INC","Manhattan","4384","BROADWAY","10040","6467710726",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.854425804453","-73.93360577514","112","10","027900","1064037","1021700001","MN35",
"50148917","TERMINAL 4","Queens","JFK","INTERNATIONAL AIRPORT","11430","7037237264",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.648312826068","-73.788281497594","483","28","071600","4000000","4142600001","QN98",
"50113703","SHWARMA TANAMI, INC.","Brooklyn","1360","CONEY ISLAND AVENUE","11230","7189309120",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.624349055231","-73.96510398165","312","44","045600","3171268","3065310006","BK43",
"50113047","TO BE THAI","Brooklyn","126","BEVERLEY ROAD","11218","7184350459","Thai","2024-09-05T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2025-06-07T06:00:12.000","Administrative Miscellaneous / Initial Inspection","40.642915367608","-73.978761785996","312","39","048600","3125302","3053530100","BK41",
"50159466","QC TERME NY LLC","Manhattan","112","ANDES ROAD","10004","2013758848",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.69265130589","-74.017886057512","101","01","000500","1086430","1000010010","MN99",
"50145771","LUCKY TIGER NYC","Manhattan","66","PEARL STREET","10004","9176206000",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.703603820115","-74.010931770411","101","01","000900","1077806","1000077501","MN25",
"50151540","CASAROMA CAFE LLC","Manhattan","530","5 AVENUE","10036","6467343894",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.754872051544","-73.97987736481","105","04","009600","1034227","1012607503","MN17",
"50167077","VAN LEEUWEN ICE CREAM LLC","Manhattan","640","BROADWAY","10012","7187011630",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.726319976423","-73.996002459158","102","01","005502","1008214","1005227502","MN23",
"50171175","URBAN JUICERY NYC","Manhattan","229","EAST   14 STREET","10003","9173453229",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.732964316364","-73.986393289243","106","02","004800","1019507","1008960014","MN21",
"50169446","A Slice of Love","Brooklyn","392","HALSEY STREET","11216","9296311053",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.683070783897","-73.938720239149","303","36","027500","3053172","3018470035","BK35",
"50147877","MINI PICADERA RESTAURANT CORP","Brooklyn","308","DITMAS AVENUE","11218","3473810479",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.635786574523","-73.975766388023","312","40","048400","3127092","3053970004","BK41",
"50111239","SEEKOS ASTORIA","Queens","2579","STEINWAY ST","11103","7182556424",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.767515394675","-73.912028358695","401","22","014300","4011370","4006840013","QN70",
"50161080","E JIA ADULT DAYCARE LLC","Brooklyn","876","60 STREET","11220","6467609339",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.634559193226","-74.008041692336","312","43","011800","3141164","3057140038","BK34",
"50161679","ENTRE NOUS","Brooklyn","39","CLIFTON PLACE","11238","4178484203",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.68778847545","-73.962982897558","302","35","019700","3055551","3019470034","BK69",
"50153371","VEGAN BODEGUITA","Bronx","451","WEST  238 STREET","10463","4247447142",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.887304106608","-73.905095224191","208","11","033500","2084037","2057790810","BX22",
"50148457","LUNA PARK AT STILLWELL AVENUE / SWEET DREAMS","Brooklyn","1239","BOARDWALK WEST","11224","7183735862",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.573060918043","-73.980731454653","313","47","035200","3000000","3070740450","BK21",
"50161003","POWER BOWLS","Manhattan","29","JOHN STREET","10038","9176901004",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.709686427339","-74.0086315153","101","01","001502","1001215","1000797503","MN25",
"50104306","CHICK 'N CONE","Manhattan","1000","S 8TH AVE","10019","6467494418",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.766812226924","-73.982808747226","104","03","013900","1799161","1270000161","MN15",
"50151960","PAPATHAI","Manhattan","2115","FREDERICK DOUGLASS BOULEVARD",,"6462756791",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"0","0",,,,,"1",,
"50171134","VITALITY JUICE BAR CORP","Queens","4522","43RD AVE","11104","6466786950",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.744961333108","-73.918990959608","402","26","018300","4001899","4001600029","QN31",
"50109295","Mario's Pizzeria","Brooklyn","224","DEKALB AVENUE","11205","7183146701","Other","2023-03-16T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2025-06-07T06:00:15.000","Trans Fat / Initial Inspection","40.689503375828","-73.970424497398","302","35","018100","3059083","3021040030","BK68",
"50105485","OSTERIA BROOKLYN","Brooklyn","460","MYRTLE AVENUE","11205","9292959542",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.693301233693","-73.967090774027","302","35","019500","3054817","3019030027","BK69",
"50161524","ROSALIE'S","Queens","3307","BROADWAY","11106","7185341355",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.761153114924","-73.923627812443","401","22","006100","4008874","4006230006","QN70",
"50157626","PHOBULOUS EATS INC.","Queens","4005","SKILLMAN AVE","11104","9173256202",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.747195864681","-73.923416505935","402","26","017100","4002375","4001830292","QN31",
"50170695","RamenYa","Manhattan","469","6 AVENUE","10011","2016540422",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.73558361361","-73.998141677927","102","03","007100","1010580","1006070045","MN23",
"50118227","YAN WO DOU BUN","Manhattan","98","MOTT STREET","10013","6462381877","Chinese","2024-10-08T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","64",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.717245818058","-73.997478430369","102","01","004100","1002615","1002040001","MN24",
"50012300","TARTINERY","Manhattan","225","LIBERTY STREET","10280","6467558484","French","2024-03-13T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","11","A","2024-03-13T00:00:00.000","2025-06-07T06:00:12.000","Cycle Inspection / Re-inspection","40.711530166285","-74.015672785414","101","01","031703","1000058","1000160125","MN25",
"50141622","J & J Pizza","Brooklyn","620","CATON AVENUE","11218","3473655536","Pizza","2025-06-04T00:00:00.000","Violations were cited in the following area(s).","04K","Evidence of rats or live rats in establishment's food or non-food areas.","Critical","23","N",,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.647698611505","-73.974320596291","312","39","050400","3124350","3053290104","BK40",
"50117841","JAVA DAY","Queens","4358","162ND ST","11358","7189615555","American","2023-05-16T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","11","A","2023-05-16T00:00:00.000","2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.758299794671","-73.804274992102","407","20","119100","4122395","4054190061","QN52",
"50159792","LOCANDA VERDE","Manhattan","20","HUDSON BLVD EAST","10001","7869424021",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.754936943427","-74.000667747286","104","03","009900","1090274","1007050039","MN13",
"50147056","SIMO PIZZA","Manhattan","1290","6 AVENUE","10119","6463988666",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.760850108553","-73.979716722068","105","04","010400","1034510","1012670001","MN17",
"50105272","BIXI","Manhattan","2164","FREDERICK DOUGLASS BOULEVARD",,"6464908575",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"0","0",,,,,"1",,
"50168201","COFFEE CHECK LLC","Brooklyn","65A","GREEN ST","11222","3229580",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.733331168969","-73.959237373131","301","33","056300",,"3","BK76",
"50001945","OOKI SUSHI","Manhattan","1575","3 AVENUE","10128","2128283388","Japanese","2022-03-17T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical","25",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.780398589993","-73.952817278138","108","05","014602","1048829","1015340004","MN32",
"50161183","CRAVINGS NYC CORP.","Bronx","500","EAST  187 STREET","10458","6463820843",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.857173381386","-73.890656626905","206","15","038700","2011702","2030550056","BX06",
"50165436","LUKE'S LOBSTER","Manhattan","228","BLEECKER STREET","10014","2076192831",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.730143480354","-74.002370519504","102","03","006700","1084922","1005270072","MN23",
"50118860","PIZZA TOWN","Manhattan","234","CANAL STREET","10013","9178876012","Pizza","2024-11-14T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","58","Z","2024-11-14T00:00:00.000","2025-06-07T06:00:12.000","Cycle Inspection / Re-inspection","40.717841460149","-73.999736657748","101","01","002900","1079010","1001980027","MN27",
"50063462","COPA-CABANA GRILL","Queens","8026","ROOSEVELT AVE","11372","3474756956","Brazilian","2022-04-13T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","28",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.747457955691","-73.885474363782","404","25","026901","4036845","4014910008","QN29",
"41421128","MARY O'S","Manhattan","32","AVENUE A","10009","2125055610","American","2022-05-03T00:00:00.000","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical","7","A","2022-05-03T00:00:00.000","2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.723330078838","-73.985500547698","103","02","003002","1004963","1003980004","MN22",
"50069682","COOK EATERY","Manhattan","1412","BROADWAY","10018","2129977601","American","2022-02-07T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","20",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.753703816993","-73.98704594334","105","04","011300","1080611","1008150014","MN17",
"50135578","IKYU","Manhattan","1718","2 AVENUE","10128","9178920706","Other","2024-06-03T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","24","Z","2024-06-03T00:00:00.000","2025-06-07T06:00:12.000","Pre-permit (Operational) / Re-inspection","40.77995832995","-73.950214199533","108","05","015400","1078644","1015520001","MN32",
"50163473","NY BAKERY & DESSERTS","Manhattan","1204","BROADWAY","10001","9293462039",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.746257439365","-73.988537902579","105","04","007600","1015758","1008310019","MN17",
"50130587","ST. FRANCIS COLLEGE","Brooklyn","179","LIVINGSTON ST","11201","7184092070","American","2023-02-06T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","2023-02-06T00:00:00.000","2025-06-07T06:00:12.000","Pre-permit (Operational) / Initial Inspection","40.689984003071","-73.986640084324","302","33","003700",,"3","BK38",
"50163223","LUCKY ZONE 8140, INC.","Brooklyn","8140","NEW UTRECHT AVENUE","11214","6462900875",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.610040307972","-74.001606304847","311","38","027600","3164612","3063140012","BK28",
"50168442","LAURE ERLONG","Manhattan","157","PRINCE STREET","10012","3474722750",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.725933027597","-74.001215851454","102","01","004900","1008036","1005160041","MN24",
"50128404","CAFE ROSE","Brooklyn","815","AVENUE U","11223","9173125555","Jewish/Kosher","2025-01-28T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","33","C","2025-01-28T00:00:00.000","2025-06-07T06:00:12.000","Cycle Inspection / Re-inspection","40.598127392882","-73.962802337057","315","47","039400","3192158","3071110042","BK25",
"50138972","Taco Callejero","Brooklyn","602","MARLBOROUGH ROAD","11226","3156646967","Spanish","2025-04-26T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0",,,"2025-06-07T06:00:12.000","Inter-Agency Task Force / Initial Inspection","40.635102549275","-73.963289661634","314","45","052000","3121147","3052350008","BK42",
"50150463","POPEYES","Staten Island","2323","FOREST AVENUE","10303","7034799469",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.627561241672","-74.167546545664","501","49","032300","5169467","5012700005","SI12",
"50147898","BIRD PEPPER","Brooklyn","259","FLATBUSH AVENUE","11217","9176879034",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.680018415381","-73.974506398561","308","35","016100","3028031","3011430005","BK64",
"50167097","CIELO NYC CORP","Queens","8819","31ST AVE","11369","9178537109",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.759877809136","-73.879912011209","403","25","033900","4000000","4013860035","QN28",
"50166230","GEORGIAN 1 BAKERY INC","Brooklyn","2270","86 STREET","11214","3477772276",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.600847755017","-73.992059612861","311","43","029600","3167192","3063830141","BK28",
"50162901","JABA NYC RESTAURANT","Manhattan","230","EAST   58 STREET","10022","9172177894",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.760566966174","-73.966227168261","106","04","010800","1038611","1013310034","MN19",
"40608422","BEDFORD CAFE & RESTAURANT","Bronx","1","EAST BEDFORD PARK BOULEVARD","10468","7183653416","American","2022-09-29T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","49","C","2022-09-29T00:00:00.000","2025-06-07T06:00:12.000","Cycle Inspection / Re-inspection","40.873289094236","-73.889252366613","207","14","041100","2017623","2033210001","BX05",
"41482516","SHANGERILA RESTAURANT","Bronx","289395","BUHRE AVENUE",,"7188286080","Japanese","2022-04-28T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","21",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","0","0",,,,,"2",,
"50105709","JOSE LUIS","Manhattan","186","AVENUE B","10009","3477542168",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.727808572733","-73.979225309987","103","02","003400","1005181","1004050034","MN22",
"50165209","SOFIA GOURMET","Queens","6647","FRESH POND RD","11385","7184560526",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.70749995569","-73.897427912276","405","30","061301","4087714","4036140006","QN20",
"50169529","HOW ARRIS GRAND, LLC","Brooklyn","445","GRAND AVENUE","11238","4153193637",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.682172197582","-73.961558252553","302","35","022700","3429717","3000000000","BK69",
"50167809","SIGNATURE SEAFOOD & GRILL","Queens","23316A","MERRICK BLVD","11422","9293316698",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.674802943325","-73.736712581163","413","31","063200","4282736","4131610035","QN66",
"50146603","7 GRAIN ARMY","Brooklyn","88","ROEBLING STREET","11211","3475569485",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.716169413135","-73.955283445254","301","33","051900","3324868","3023290021","BK73",
"50170254","TIPSY TEQUILA AND TACO SPORTS BAR","Queens","21311","41ST AVE","11361","9174178381",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.763528790052","-73.771705282112","411","19","112300","4458115","4062370035","QN46",
"50162041","WINGSTOP","Manhattan","77","LEXINGTON AVENUE","10010","2125055861",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.741308007081","-73.983418006874","106","02","006800","1018118","1008810061","MN21",
"41615845","ROCCO PIZZA III","Brooklyn","330","HALSEY STREET","11216","7185739200","American","2025-02-26T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","42",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.682874061077","-73.940429441876","303","36","027500","3053142","3018470004","BK35",
"50171377","UKA OMAKASE INC.","Manhattan","238","EAST   60 STREET","10022","6462865436",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.761766114762","-73.965186930704","108","05","011000","1043350","1014140032","MN31",
"41701618","FELICE","Manhattan","15","GOLD STREET","10038","2127855950","Italian","2022-05-23T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","31",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.707745991206","-74.00691799522","101","01","001502","1085948","1000680028","MN25",
"50044289","BAYARD BO KY RESTAURANT","Manhattan","78-80","BAYARD ST","10013","2124062292","Chinese","2023-04-05T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","43",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.71570053367","-73.998683331195","103","01","002900","1002401","1002000033","MN27",
"50161894","PATOK","Manhattan","1","HERALD SQ","10001","9173276332",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.750541907818","-73.987541021756","105","04","010900","1089436","1008100045","MN17",
"41299712","MISOYA","Manhattan","129","2 AVENUE","10003","2126774825","Japanese","2023-05-17T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","9","A","2023-05-17T00:00:00.000","2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.728427377709","-73.987801340526","103","02","003800","1006678","1004630030","MN22",
"50151262","D' La Para Pica Pollo","Manhattan","151","NAGLE AVENUE","10040","4846412070",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.861112835535","-73.926032395724","112","10","028300","1082762","1021730029","MN35",
"41569069","CHINESE FRIED CHICKEN","Bronx","13101312","LAFAYETTE AVENUE",,"7188422854","Chinese","2022-06-10T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","21",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","0","0",,,,,"2",,
"50087544","HOEK PIZZERIA","Brooklyn","300","JAY STREET","11201","6468372228",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.695555949456","-73.987140227762","302","33","001300","3335892","3001280001","BK38",
"41660253","THE MONRO","Brooklyn","481","5 AVENUE","11215","7184992005","English","2022-05-02T00:00:00.000","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical","31",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","40.667778860199","-73.987444794769","306","39","013900","3022925","3010230008","BK37",
"50151135","BOTTE DITMARS","Queens","3501","DITMARS BLVD","11105","3472136961",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.774786471336","-73.908787294783","401","22","011300","4016547","4008240001","QN72",
